套料图名,分段号,切割机,切割序号,切割开始(min),切割完成(min),切割工时(min),原料吊运开始(min),原料空驶完成(min),原料吊运完成(min),原料吊运返回完成(min),工位开始(min),等待结束(min),工位处理时间(min),工位完工(min),工位,最低优先级
E01S-1200,BN1,N5,83,2750.3218006143975,2793.9091036893474,43.587303074949816,2742.5090407789485,2745.5090407789485,2748.5090407789485,2748.5090407789485,2748.5090407789485,2750.3218006143975,12.889475238095201,2806.7985789274426,1,2
E01S-1225,BN1,N2,84,2808.8606382882977,2838.159834840624,29.299196552326617,2775.6940860308473,2783.6940860308473,2786.6940860308473,2786.6940860308473,2786.6940860308473,2808.8606382882977,52.64614349206431,2890.8059783326885,0,3
E01S-1222,BN1,N2,85,2838.159834840624,2889.365981789947,51.206146949322815,2813.8606382882977,2821.8606382882977,2824.8606382882977,2824.8606382882977,2824.8606382882977,2838.159834840624,37.25175408242512,2926.617735872372,1,3
E01S-1233,BN1,N5,86,2793.9091036893474,2834.182177972278,40.273074282930736,2786.6940860308473,2789.6940860308473,2792.6940860308473,2792.6940860308473,2792.6940860308473,2793.9091036893474,5.689024153846276,2839.8712021261244,0,3
E01S-1221,BN1,N5,87,2834.182177972278,2952.253203290253,118.07102531797486,2800.7985789274426,2803.7985789274426,2806.7985789274426,2806.7985789274426,2806.7985789274426,2834.182177972278,127.01397730158988,3079.267180591843,1,2
E01S-1231,BN1,N2,88,2900.6874247789474,2946.2418910121287,45.554466233181415,2889.6874247789474,2897.6874247789474,2900.6874247789474,2900.6874247789474,2900.6874247789474,2900.6874247789474,55.55572722222314,3001.797618234352,0,3
E01S-1215,BN1,N2,89,2946.2418910121287,3073.5245494759342,127.28265846380539,2920.617735872372,2923.617735872372,2926.617735872372,2926.617735872372,2926.617735872372,2946.2418910121287,8.252356349206366,3081.7769058251406,1,2
E01S-1218,BN1,N5,90,2952.253203290253,3007.4094036219335,55.15620033168035,2839.8712021261244,2847.8712021261244,2850.8712021261244,2850.8712021261244,2850.8712021261244,2952.253203290253,80.3606495095919,3087.7700531315254,0,3
E01S-1220,BN1,N2,91,3073.5245494759342,3130.9118703898644,57.387320913930125,2990.797618234352,2998.797618234352,3001.797618234352,3001.797618234352,3001.797618234352,3073.5245494759342,17.036675873016065,3147.9485462628804,0,3
E01S-1230,BN1,N5,92,3092.3076618349082,3159.7275164607627,67.41985462585454,3081.3076618349082,3089.3076618349082,3092.3076618349082,3092.3076618349082,3092.3076618349082,3092.3076618349082,5.813272256410073,3165.5407887171727,1,3
E01S-1243,BN1,N2,93,3130.9118703898644,3219.10562121382,88.1937508239557,3092.3076618349082,3100.3076618349082,3103.3076618349082,3103.3076618349082,3103.3076618349082,3130.9118703898644,100.33145746031687,3319.437078674137,1,3
E01S-1216,BN1,N5,94,3159.7275164607627,3179.3830448592926,19.65552839853011,3103.3076618349082,3111.3076618349082,3114.3076618349082,3114.3076618349082,3114.3076618349082,3159.7275164607627,5.659674358974371,3185.042719218267,0,4
E01S-1227,BN1,N5,95,3179.3830448592926,3205.886679124033,26.503634264740445,3165.5407887171727,3168.5407887171727,3171.5407887171727,3171.5407887171727,3171.5407887171727,3179.3830448592926,8.166209593139683,3214.0528887171727,1,4
E01S-1235,BN1,N5,96,3205.886679124033,3263.058903754392,57.172224630358706,3185.042719218267,3193.042719218267,3196.042719218267,3196.042719218267,3196.042719218267,3205.886679124033,26.851655079365173,3289.910558833757,0,4
E01S-1238,BN1,N2,97,3219.10562121382,3319.451587616734,100.34596640291396,3136.9485462628804,3144.9485462628804,3147.9485462628804,3147.9485462628804,3147.9485462628804,3219.10562121382,8.622809523809792,3328.0743971405436,0,4
E01S-1241,BN1,N5,98,3263.058903754392,3294.049328901558,30.990425147166366,3214.0528887171727,3222.0528887171727,3225.0528887171727,3225.0528887171727,3225.0528887171727,3263.058903754392,8.770595039682576,3302.8199239412406,1,6
E01S-1236,BN1,N5,99,3294.049328901558,3336.638371692592,42.589042791033805,3278.910558833757,3286.910558833757,3289.910558833757,3289.910558833757,3289.910558833757,3294.049328901558,5.580575589743603,3342.2189472823356,0,6
E01S-1237,BN1,N5,100,3336.638371692592,3377.3165601076366,40.678188415044744,3299.596662234891,3307.596662234891,3310.596662234891,3310.596662234891,3310.596662234891,3336.638371692592,6.055426923076993,3383.3719870307136,1,6
E01S-1213,BN1,N2,101,3321.596662234891,3359.5881050869,37.9914428520094,3310.596662234891,3318.596662234891,3321.596662234891,3321.596662234891,3321.596662234891,3321.596662234891,5.823589743589764,3365.41169483049,1,6
E01S-1239,BN1,N2,102,3359.5881050869,3407.377703823873,47.789598736972735,3342.2189472823356,3350.2189472823356,3353.2189472823356,3353.2189472823356,3353.2189472823356,3359.5881050869,6.302808461538461,3413.6805122854116,0,6
E01S-1228,BN1,N5,103,3377.3165601076366,3427.127149885891,49.810589778254425,3365.41169483049,3373.41169483049,3376.41169483049,3376.41169483049,3376.41169483049,3377.3165601076366,7.962827641025342,3435.0899775269163,0,6
E01S-1234,BN1,N2,104,3407.377703823873,3461.66923292375,54.29152909987671,3383.3719870307136,3391.3719870307136,3394.3719870307136,3394.3719870307136,3394.3719870307136,3407.377703823873,6.896007025641211,3468.565239949391,1,6
E01S-1245,BN1,N5,105,3427.127149885891,3435.332144056305,8.204994170414201,3394.3719870307136,3402.3719870307136,3405.3719870307136,3405.3719870307136,3405.3719870307136,3427.127149885891,6.13594515873001,3441.468089215035,1,7
E01S-1207,BN1,N5,106,3446.0899775269163,3459.3169026261226,13.22692509920635,3435.0899775269163,3443.0899775269163,3446.0899775269163,3446.0899775269163,3446.0899775269163,3446.0899775269163,3.671943538461619,3462.988846164584,0,7
E01S-1208,BN1,N5,107,3459.3169026261226,3675.4908823270807,216.17397970095834,3446.0899775269163,3449.0899775269163,3452.0899775269163,3452.0899775269163,3452.0899775269163,3459.3169026261226,85.62700134920624,3761.117883676287,1,1
E01S-1224,BN1,N2,108,3461.66923292375,3487.272326741211,25.60309381746118,3413.6805122854116,3421.6805122854116,3424.6805122854116,3424.6805122854116,3424.6805122854116,3461.66923292375,5.938822358974448,3493.2111491001856,0,8
E01S-1217,BN1,N2,109,3487.272326741211,3490.290794706216,3.0184679650047936,3468.565239949391,3471.565239949391,3474.565239949391,3474.565239949391,3474.565239949391,3487.272326741211,8.52092523809506,3498.811719944311,1,9
